,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
436,La Mana,EC,62.6,-0.93,-79.22,63,75,20.8
437,Flinders,AU,59,-34.58,150.85,54,90,12.75
438,Malanje,AO,65.39,-9.54,16.35,95,64,2.37
439,Illapel,CL,66.83,-31.63,-71.17,65,0,3.94
440,Altus,US,81.03,34.64,-99.33,24,1,6.93
441,Leh,IN,-14.8,34.16,77.58,67,12,2.26
442,Altar,MX,89.15,30.72,-111.84,25,0,4.38
443,Ushtobe,KZ,46.54,45.25,77.98,53,68,4.94
444,Whitianga,NZ,61.97,-36.83,175.7,98,80,13
445,Pangnirtung,CA,23.99,66.15,-65.72,94,88,6.4
446,Beringovskiy,RU,28.13,63.05,179.32,100,80,6.62
447,Novopavlovka,RU,33.17,51.21,109.22,89,92,6.29
448,Pusad,IN,64.09,19.91,77.57,72,0,2.82
449,Gallup,US,69.8,35.53,-108.74,21,1,9.17
450,Acapulco,MX,87.8,16.86,-99.88,66,40,3.36
451,Lerwick,GB,42.8,60.15,-1.15,75,32,19.46
452,Aden,YE,80.24,12.79,45.03,99,0,9.19
453,Le Port,FR,26.02,42.87,1.37,96,92,2.04
454,Sola,FI,30.2,62.78,29.36,80,0,11.41
455,Saint-Paul,FR,40.69,45.22,1.9,75,0,9.17
456,Kavaratti,IN,85.64,10.57,72.64,98,12,8.19
457,Shemursha,RU,31.28,54.89,47.52,95,44,6.51
458,Lata,IN,41.45,30.78,78.62,65,0,2.59
459,Leningradskiy,RU,14.72,69.38,178.42,100,0,5.28
460,Tangjiazhuang,CN,41.41,33.27,105.76,86,32,2.26
461,Mahina,ML,82.36,13.76,-10.85,62,24,7.4
462,Shaowu,CN,39.07,27.34,117.49,82,0,1.92
463,Ramos Arizpe,MX,68,25.54,-100.95,56,5,9.17
464,Wanparti,IN,64.94,16.36,78.06,75,0,3.15
465,Talnakh,RU,32.99,69.49,88.39,93,88,20.6
466,Mehamn,NO,31.64,71.03,27.85,83,88,14.23
467,Salalah,OM,78.8,17.01,54.1,83,75,3.36
468,Soroti,UG,67.64,1.71,33.61,96,44,7.18
469,Dorokhovo,RU,37.4,55.55,36.37,93,90,11.18
470,Ertil,RU,38.44,51.84,40.8,92,100,13.67
471,Lingao,CN,73.04,19.91,109.69,93,0,8.3
472,Toba,JP,59,34.47,136.83,67,20,10.29
473,Carauari,BR,85.24,-4.88,-66.9,82,20,2.71
474,Hofn,IS,37.67,64.25,-15.21,100,76,17.92
475,Davila,PH,77,18.47,120.58,73,75,9.17
476,Ust-Kut,RU,21.79,56.78,105.75,81,0,2.37
477,Havelock,US,60.53,34.88,-76.9,82,90,13.87
478,Tacuarembo,UY,69.04,-31.73,-55.98,61,56,13.56
479,Tres Arroyos,AR,67.06,-38.38,-60.28,68,76,3.94
480,Conceicao do Araguaia,BR,84.16,-8.26,-49.26,89,24,2.37
481,Udayagiri,IN,63.95,12.32,76.68,78,0,4.72
482,Swan River,CA,43.39,52.11,-101.27,82,56,7.85
483,Awjilah,LY,68.45,29.14,21.3,41,76,8.75
484,Banda Aceh,ID,74.17,5.56,95.32,100,56,2.26
485,Chingirlau,KZ,30.83,51.09,54.08,81,0,8.19
486,Chapais,CA,30.2,49.78,-74.86,50,1,6.93
487,Dunedin,NZ,47.57,-45.87,170.5,100,92,3.83
488,Los Llanos de Aridane,ES,68,28.66,-17.92,82,75,12.75
489,Sawakin,SD,79.57,19.1,37.33,92,32,9.75
490,Itacoatiara,BR,92.93,-3.14,-58.44,52,20,3.6
491,Faanui,PF,78.67,-16.48,-151.75,100,48,5.73
492,Pedasi,PA,81.23,7.53,-80.03,100,48,7.29
493,Coracora,PE,60.35,-15.02,-73.78,23,44,3.94
494,Bereznik,RU,22.64,62.86,42.71,86,12,5.17
495,Gladstone,AU,73.54,-23.84,151.26,93,100,5.73
496,Yemtsa,RU,24.71,63.06,40.33,93,36,3.38
497,Kenai,US,45.48,60.55,-151.26,70,90,6.93
498,Karaidel,RU,33.35,55.83,56.91,86,88,9.75
499,Carbonia,IT,68.05,39.17,8.53,88,0,5.82
500,Kondoa,TZ,60.22,-4.91,35.78,96,48,4.38
501,Jidong,CN,30.2,45.25,131.14,58,32,5.73
502,Port Hawkesbury,CA,35.6,45.62,-61.36,59,90,5.82
503,Pringsewu,ID,72.19,-5.36,104.98,95,68,2.15
504,Ciudad Bolivar,VE,97.57,8.12,-63.55,33,0,16.24
505,Hay River,CA,39.2,60.82,-115.79,73,20,4.7
506,Belmonte,PT,41.09,40.36,-7.35,70,20,6.51
507,Rio Gallegos,AR,60.8,-51.62,-69.22,26,75,12.75
508,Swan Hill,AU,53.24,-35.34,143.56,71,48,9.86
509,Filadelfia,PY,78.89,-22.35,-60.04,80,0,6.96
510,Meulaboh,ID,76.55,4.14,96.13,100,76,0.36
511,Lumeje,AO,79.07,-11.56,20.78,26,12,9.42
512,Jalu,LY,67.06,29.03,21.55,41,76,7.96
513,Quatre Cocos,MU,66.2,-20.21,57.76,82,20,8.05
514,Glendive,US,55.62,47.11,-104.71,37,20,23.04
515,Tank,PK,54.37,32.22,70.39,80,0,2.93
516,Grand Gaube,MU,66.2,-20.01,57.66,82,20,8.05
517,Labuhan,ID,69.62,-2.54,115.51,98,20,2.15
518,Caravelas,BR,77,-17.73,-39.27,83,0,11.41
519,Yashkul,RU,36.86,46.17,45.34,76,0,4.16
520,Gizo,IL,62.6,31.8,34.94,63,0,2.24
521,Brasilia,BR,80.6,-10.9,-37.55,69,20,17.22
522,San Lorenzo,PY,75.2,-25.34,-57.51,53,0,5.82
523,Klyuchi,RU,45.19,52.25,79.17,49,44,12.21
524,Seymchan,RU,9.41,62.93,152.39,81,44,2.82
525,Dicabisagan,PH,74.84,17.08,122.42,100,92,14.34
526,Loviisa,FI,33.8,60.46,26.23,64,90,14.99
527,Sikandra Rao,IN,64.4,27.69,78.38,74,0,2.82
528,Victoria,BN,78.8,5.28,115.24,94,75,3.04
529,Alice Town,BS,80.42,25.72,-79.3,100,32,5.17
